cord_uid,title,authors,journal,publish_time,abstract,url,source_x,publish_time_parsed,publication_year,abstract_word_count,title_word_count
uid0087,COVID-19 Research Study #87,Researcher 87; Scientist 88,BMJ,2021-08-29,This study examines aspect 87 of COVID-19 transmission and impact.,https://example.com/paper/87,bioRxiv,2021-08-29,2021,10,4
uid0088,COVID-19 Research Study #88,Researcher 88; Scientist 89,Nature,2021-09-05,This study examines aspect 88 of COVID-19 transmission and impact.,https://example.com/paper/88,medRxiv,2021-09-05,2021,10,4
uid0089,COVID-19 Research Study #89,Researcher 89; Scientist 90,Science,2021-09-12,This study examines aspect 89 of COVID-19 transmission and impact.,https://example.com/paper/89,PubMed,2021-09-12,2021,10,4
uid0090,COVID-19 Research Study #90,Researcher 90; Scientist 91,JAMA,2021-09-19,This study examines aspect 90 of COVID-19 transmission and impact.,https://example.com/paper/90,arXiv,2021-09-19,2021,10,4
uid0091,COVID-19 Research Study #91,Researcher 91; Scientist 92,,2021-09-26,,https://example.com/paper/91,bioRxiv,2021-09-26,2021,0,4
uid0092,COVID-19 Research Study #92,Researcher 92; Scientist 93,BMJ,2021-10-03,This study examines aspect 92 of COVID-19 transmission and impact.,https://example.com/paper/92,medRxiv,2021-10-03,2021,10,4
uid0093,COVID-19 Research Study #93,Researcher 93; Scientist 94,Nature,2021-10-10,This study examines aspect 93 of COVID-19 transmission and impact.,https://example.com/paper/93,PubMed,2021-10-10,2021,10,4
uid0094,COVID-19 Research Study #94,Researcher 94; Scientist 95,Science,2021-10-17,This study examines aspect 94 of COVID-19 transmission and impact.,https://example.com/paper/94,arXiv,2021-10-17,2021,10,4
uid0095,COVID-19 Research Study #95,Researcher 95; Scientist 96,JAMA,2021-10-24,This study examines aspect 95 of COVID-19 transmission and impact.,https://example.com/paper/95,bioRxiv,2021-10-24,2021,10,4
uid0096,COVID-19 Research Study #96,Researcher 96; Scientist 97,Lancet,2021-10-31,This study examines aspect 96 of COVID-19 transmission and impact.,https://example.com/paper/96,medRxiv,2021-10-31,2021,10,4
uid0097,COVID-19 Research Study #97,Researcher 97; Scientist 98,BMJ,2021-11-07,This study examines aspect 97 of COVID-19 transmission and impact.,https://example.com/paper/97,PubMed,2021-11-07,2021,10,4
uid0098,COVID-19 Research Study #98,Researcher 98; Scientist 99,Nature,2021-11-14,This study examines aspect 98 of COVID-19 transmission and impact.,https://example.com/paper/98,arXiv,2021-11-14,2021,10,4
uid0099,COVID-19 Research Study #99,Researcher 99; Scientist 100,Science,2021-11-21,This study examines aspect 99 of COVID-19 transmission and impact.,https://example.com/paper/99,bioRxiv,2021-11-21,2021,10,4
uid0100,COVID-19 Research Study #100,Researcher 100; Scientist 101,JAMA,2021-11-28,This study examines aspect 100 of COVID-19 transmission and impact.,https://example.com/paper/100,medRxiv,2021-11-28,2021,10,4
